,car_name,car_prices_in_rupee,kms_driven,fuel_type,transmission,ownership,engine,Seats,age
111,Skoda Superb Sportline,3100000,25000,Petrol,Automatic,1st Owner,1984 cc,5 Seats,2
112,Kia Seltos HTX,1575000,20500,Petrol,Automatic,1st Owner,1497 cc,5 Seats,3
113,Honda Amaze S,450000,30000,Petrol,Manual,1st Owner,1198 cc,5 Seats,8
114,Hyundai i20 Magna,590000,59000,Petrol,Manual,1st Owner,1197 cc,5 Seats,6
115,BMW X1 sDrive,1450000,80000,Diesel,Automatic,1st Owner,1995 cc,5 Seats,9
116,Hyundai Xcent 1.2,380000,50000,Diesel,Manual,2nd Owner,1186 cc,5 Seats,6
117,Tata Harrier XZAS,2100000,32000,Diesel,Automatic,1st Owner,1956 cc,5 Seats,2
118,Hyundai i10 Era,261000,120000,Petrol,Manual,2nd Owner,1086 cc,5 Seats,11
119,Land Rover Discovery,0,33000,Petrol,Automatic,1st Owner,1997 cc,7 Seats,2
120,Mini 3 DOOR,4200000,6900,Petrol,Automatic,1st Owner,1998 cc,4 Seats,4
121,Tata Harrier XZA,2250000,4500,Diesel,Automatic,1st Owner,1956 cc,5 Seats,1
122,Volvo S90 D4,4200000,51000,Diesel,Automatic,1st Owner,1969 cc,5 Seats,5
123,Kia Seltos GTX,1975000,12000,Diesel,Automatic,1st Owner,1493 cc,5 Seats,1
124,Maruti Vitara Brezza,950000,37000,Diesel,Manual,1st Owner,1248 cc,5 Seats,5
125,Hyundai Verna SX,1451000,35000,Diesel,Manual,1st Owner,1493 cc,5 Seats,2
126,Maruti Wagon R,300000,80000,Petrol,Manual,2nd Owner,998 cc,5 Seats,7
127,Hyundai Grand i10,459999,60000,Petrol,Manual,1st Owner,1197 cc,5 Seats,7
128,Honda Amaze VX,915000,10000,Petrol,Automatic,1st Owner,1199 cc,5 Seats,1
129,Maruti Ignis Zeta,550000,59385,Petrol,Automatic,1st Owner,1197 cc,5 Seats,4
130,Jaguar XF 3.0,1700000,51000,Diesel,Automatic,2nd Owner,2993 cc,5 Seats,11
131,Mahindra XUV500 AT,990000,74000,Diesel,Automatic,1st Owner,1997 cc,7 Seats,6
132,Tata Nexon 1.2,851000,29000,Petrol,Automatic,1st Owner,1198 cc,5 Seats,3
133,Jeep Compass Model,2750000,12200,Diesel,Automatic,1st Owner,1956 cc,5 Seats,2
134,Hyundai Grand i10,550000,40000,Petrol,Automatic,3rd Owner,1197 cc,5 Seats,4
135,Hyundai Verna CRDi,951000,58000,Diesel,Manual,1st Owner,1582 cc,5 Seats,5
136,Toyota Innova Crysta,1989999,75000,Diesel,Automatic,2nd Owner,2755 cc,7 Seats,4
137,Land Rover Discovery,3550000,72000,Diesel,Automatic,1st Owner,1999 cc,7 Seats,5
138,Ford Aspire 1.2,550000,23400,Petrol,Manual,1st Owner,1196 cc,5 Seats,6
139,Ford Aspire 1.2,390000,59300,Petrol,Manual,1st Owner,1196 cc,5 Seats,6
140,Hyundai Creta 1.4,890000,72000,Diesel,Manual,1st Owner,1396 cc,5 Seats,7
141,Maruti Swift Dzire,451000,67000,Diesel,Manual,1st Owner,1248 cc,5 Seats,6
142,Honda Amaze S,725000,33500,Petrol,Automatic,1st Owner,1199 cc,5 Seats,5
143,Hyundai Creta SX,1275000,17000,Petrol,Manual,2nd Owner,1497 cc,5 Seats,2
144,Volkswagen Ameo 1.5,690000,33000,Diesel,Automatic,1st Owner,1498 cc,5 Seats,7
145,Volkswagen Polo GT,675000,49000,Petrol,Automatic,1st Owner,1197 cc,5 Seats,8
146,Hyundai Grand i10,565000,26000,Petrol,Automatic,1st Owner,1197 cc,5 Seats,8
147,Hyundai Venue SX,1000000,14500,Petrol,Manual,1st Owner,998 cc,5 Seats,3
148,Kia Seltos GTX,1975000,10000,Diesel,Automatic,1st Owner,1493 cc,5 Seats,1
149,MG Hector Plus,1700000,15001,Petrol,Automatic,1st Owner,1451 cc,6 Seats,3
150,Skoda Octavia Elegance,975000,55000,Petrol,Automatic,2nd Owner,1798 cc,5 Seats,8
151,Toyota Corolla Altis,650000,38000,Petrol,Manual,1st Owner,1798 cc,5 Seats,10
153,Honda Amaze S,475000,65413,Petrol,Automatic,1st Owner,1198 cc,5 Seats,10
154,Honda Jazz Mode,280000,45000,Petrol,Manual,2nd Owner,1198 cc,5 Seats,14
155,Ford Figo 1.2P,430000,44000,Petrol,Manual,1st Owner,1196 cc,5 Seats,6
156,Hyundai Grand i10,490000,40000,Petrol,Manual,1st Owner,1197 cc,5 Seats,6
157,Ford Ecosport 1.5,651000,49000,Petrol,Automatic,1st Owner,1496 cc,5 Seats,7
158,Mahindra Thar LX,1751000,19000,Diesel,Automatic,1st Owner,2184 cc,4 Seats,1
159,Hyundai i20 Magna,391000,56000,Diesel,Manual,2nd Owner,1396 cc,5 Seats,10
160,Honda City 1.5,375000,65000,Petrol,Manual,2nd Owner,1497 cc,5 Seats,13
161,Toyota Etios G,490000,27680,Petrol,Manual,1st Owner,1496 cc,5 Seats,10
162,Kia Seltos GTX,1825000,27305,Diesel,Automatic,1st Owner,1493 cc,5 Seats,2
163,BMW 3 Series,3300000,10793,Diesel,Automatic,1st Owner,1995 cc,5 Seats,4
164,BMW X3 xDrive,5600000,12000,Diesel,Automatic,1st Owner,1995 cc,5 Seats,3
165,MG Hector Sharp,1499000,44000,Petrol,Automatic,1st Owner,1451 cc,5 Seats,4
166,Kia Seltos HTK,1199000,63000,Petrol,Manual,1st Owner,1497 cc,5 Seats,3
167,Hyundai i20 Sportz,650000,87000,Diesel,Manual,1st Owner,1396 cc,5 Seats,4
168,Maruti Alto LXi,190000,61000,Petrol,Manual,1st Owner,796 cc,5 Seats,13
169,Hyundai i20 Sportz,625000,72000,Diesel,Manual,1st Owner,1396 cc,5 Seats,7
170,Audi A4 2.0,1651000,70000,Diesel,Automatic,1st Owner,1968 cc,5 Seats,8
171,Nissan Micra Diesel,225000,58000,Diesel,Manual,2nd Owner,1461 cc,5 Seats,11
172,Honda Jazz Active,130000,90000,Petrol,Manual,3rd Owner,1198 cc,5 Seats,14
173,Honda City VX,1250000,19000,Petrol,Manual,1st Owner,1497 cc,5 Seats,1
174,Toyota Corolla Altis,925000,72159,Petrol,Automatic,1st Owner,1798 cc,5 Seats,9
175,Ford Ecosport 1.5,590000,78000,Diesel,Manual,1st Owner,1498 cc,5 Seats,8
176,Ford Ecosport 1.5,690000,58000,Diesel,Manual,1st Owner,1498 cc,5 Seats,5
177,Ford Ecosport 1.5,890000,72000,Diesel,Manual,1st Owner,1498 cc,5 Seats,5
178,Land Rover Range,4250000,56000,Diesel,Automatic,1st Owner,1999 cc,5 Seats,5
179,Nissan Micra Diesel,290000,73000,Diesel,Manual,1st Owner,1461 cc,5 Seats,11
180,Hyundai Creta 1.6,890000,28840,Petrol,Manual,1st Owner,1591 cc,5 Seats,7
181,Maruti Swift Dzire,690000,51500,Petrol,Automatic,1st Owner,1197 cc,5 Seats,4
182,Maruti S-Presso VXI,480000,41370,Petrol,Automatic,1st Owner,998 cc,5 Seats,3
183,Hyundai Creta 1.6,875000,41266,Petrol,Manual,1st Owner,1591 cc,5 Seats,7
184,Hyundai Verna VTVT,990000,31740,Petrol,Automatic,1st Owner,1591 cc,5 Seats,5
185,Maruti Ciaz VXi,615000,77876,Petrol,Manual,1st Owner,1373 cc,5 Seats,8
186,Skoda Kushaq 1.5,2050000,9500,Petrol,Manual,1st Owner,1498 cc,5 Seats,1
187,Hyundai Grand i10,625000,28387,Petrol,Automatic,1st Owner,1197 cc,5 Seats,4
188,Mercedes-Benz M-Class ML,2700000,120000,Diesel,Automatic,2nd Owner,2987 cc,5 Seats,8
189,Hyundai Grand i10,450000,20000,Petrol,Manual,2nd Owner,1197 cc,5 Seats,6
190,Mercedes-Benz C-Class Progressive,4250000,30686,Diesel,Automatic,1st Owner,1950 cc,5 Seats,3
191,Tata Indica eV2,100000,120000,Diesel,Manual,2nd Owner,1396 cc,5 Seats,10
193,Honda City 1.5,400000,40000,Petrol,Automatic,1st Owner,1497 cc,5 Seats,14
194,Maruti Ciaz Delta,625000,55000,Diesel,Manual,1st Owner,1248 cc,5 Seats,8
195,Hyundai Grand i10,575000,38000,Petrol,Manual,1st Owner,1197 cc,5 Seats,4
196,Audi Q3 30,2350000,40000,Petrol,Automatic,1st Owner,1395 cc,5 Seats,6
197,Hyundai Santro GS,135000,60000,Petrol,Manual,2nd Owner,999 cc,5 Seats,17
198,Mahindra Bolero SLX,300000,110000,Diesel,Manual,3rd Owner,2523 cc,7 Seats,14
199,Maruti Swift LDI,210000,143000,Diesel,Manual,2nd Owner,1248 cc,5 Seats,12
200,Tata Indica Aqua,125000,110000,Diesel,Manual,3rd Owner,1248 cc,5 Seats,11
201,Mahindra KUV 100,475000,58000,Diesel,Manual,1st Owner,1198 cc,6 Seats,6
202,Honda City i,550000,65000,Petrol,Manual,2nd Owner,1497 cc,5 Seats,9
203,Tata Harrier XZ,1700000,50000,Diesel,Manual,1st Owner,1956 cc,5 Seats,2
204,Tata Zest Revotron,349000,55000,Petrol,Manual,1st Owner,1193 cc,5 Seats,8
205,Land Rover Discovery,7000000,19500,Diesel,Automatic,1st Owner,1999 cc,7 Seats,2
206,Mahindra XUV500 AT,925000,78000,Diesel,Automatic,2nd Owner,2179 cc,7 Seats,7
207,Honda City V,390000,58000,Petrol,Manual,1st Owner,1497 cc,5 Seats,13
208,Mahindra XUV500 W10,1025000,91000,Diesel,Manual,1st Owner,2179 cc,7 Seats,6
209,Mahindra XUV500 AT,1125000,30000,Diesel,Automatic,1st Owner,1997 cc,7 Seats,7
210,Maruti Baleno 1.2,725000,44153,Petrol,Manual,1st Owner,1197 cc,5 Seats,5
211,Mercedes-Benz C-Class C,3450000,21000,Diesel,Automatic,1st Owner,2143 cc,5 Seats,5
212,Kia Seltos HTX,1400000,19000,Petrol,Manual,1st Owner,1497 cc,5 Seats,3
213,Hyundai Alcazar Signature,1950000,27300,Diesel,Automatic,1st Owner,1493 cc,6 Seats,2
214,Skoda Superb Laurin,3400000,31001,Petrol,Automatic,1st Owner,1984 cc,5 Seats,2
215,Renault KWID 1.0,310000,50000,Petrol,Manual,1st Owner,999 cc,5 Seats,6
217,Maruti Swift Dzire,650000,53000,Petrol,Automatic,1st Owner,1197 cc,5 Seats,5
218,Datsun RediGO S,275000,20000,Petrol,Manual,1st Owner,799 cc,5 Seats,6
219,Honda Brio S,350000,72000,Petrol,Manual,1st Owner,1198 cc,5 Seats,10
220,Hyundai Creta 1.6,890000,26000,Petrol,Manual,1st Owner,1591 cc,5 Seats,7
221,Honda Amaze S,425000,66000,Diesel,Manual,1st Owner,1498 cc,5 Seats,8
222,Jaguar XF 2.2,2200000,69619,Diesel,Automatic,1st Owner,2179 cc,5 Seats,9
223,Maruti Alto K10,430000,30000,Petrol,Automatic,1st Owner,998 cc,5 Seats,5
224,Maruti Wagon R,211000,61000,Petrol,Manual,1st Owner,1061 cc,5 Seats,14
225,Renault Duster 110PS,975000,31000,Diesel,Automatic,1st Owner,1461 cc,5 Seats,5
226,Volkswagen Polo GT,625000,66000,Petrol,Automatic,1st Owner,1197 cc,5 Seats,8
227,Land Rover Discovery,7200000,7700,Petrol,Automatic,1st Owner,1997 cc,7 Seats,2
228,Mahindra XUV700 AX3,1750000,9000,Petrol,Automatic,1st Owner,1999 cc,5 Seats,1
229,Tata Tigor 1.2,340000,60000,Petrol,Manual,2nd Owner,1199 cc,5 Seats,6
230,Skoda Fabia 1.2,110000,110000,Petrol,Manual,3rd Owner,1198 cc,5 Seats,14
231,Kia Seltos HTX,1675000,51001,Diesel,Automatic,1st Owner,1493 cc,5 Seats,3
232,Jeep Compass 2.0,2100000,56207,Diesel,Automatic,1st Owner,1956 cc,5 Seats,3
233,Mercedes-Benz GLA Class,2690000,58000,Diesel,Automatic,1st Owner,2143 cc,5 Seats,4
234,Hyundai i20 Diesel,650000,73290,Diesel,Manual,1st Owner,1396 cc,5 Seats,5
235,Hyundai Verna 1.6,790000,44283,Diesel,Manual,1st Owner,1582 cc,5 Seats,6
236,Maruti Celerio VXI,425000,48000,Petrol,Automatic,1st Owner,998 cc,5 Seats,7
237,Honda City 1.5,340000,107500,Petrol,Manual,3rd Owner,1497 cc,5 Seats,13
238,Maruti Swift 1.3,0,80000,Petrol,Manual,3rd Owner,1298 cc,5 Seats,16
239,Maruti SX4 Celebration,200000,90000,Petrol,Manual,2nd Owner,1586 cc,5 Seats,14
240,Maruti Vitara Brezza,775000,10000,Petrol,Manual,1st Owner,1462 cc,5 Seats,2
241,Maruti Wagon R,215000,120000,Petrol,Manual,1st Owner,998 cc,5 Seats,12
242,Maruti Wagon R,237000,120000,Petrol,Manual,1st Owner,998 cc,5 Seats,12
244,Mahindra KUV 100,425000,46000,Petrol,Manual,1st Owner,1198 cc,6 Seats,5
245,Nissan Sunny XL,575000,28000,Diesel,Manual,1st Owner,1461 cc,5 Seats,6
246,Honda WR-V SV,825000,24000,Petrol,Manual,1st Owner,1199 cc,5 Seats,3
247,Honda WR-V i-VTEC,690000,23000,Petrol,Manual,1st Owner,1199 cc,5 Seats,5
248,Honda WR-V i-VTEC,775000,24300,Petrol,Manual,1st Owner,1199 cc,5 Seats,5
249,Honda WR-V i-VTEC,790000,51000,Petrol,Manual,1st Owner,1199 cc,5 Seats,4
250,Kia Seltos GTX,1490000,6000,Petrol,Automatic,1st Owner,1353 cc,5 Seats,3
251,Kia Seltos GTX,1725000,12600,Petrol,Automatic,1st Owner,1353 cc,5 Seats,2
252,Jeep Meridian Limited,3700000,3500,Diesel,Automatic,1st Owner,1956 cc,7 Seats,1
253,Hyundai i10 Era,229999,120000,Petrol,Manual,1st Owner,1086 cc,5 Seats,12
254,Hyundai Grand i10,750000,5000,Cng,Manual,1st Owner,1197 cc,5 Seats,1
255,Hyundai Santro Xing,135000,120000,Petrol,Manual,4th Owner,1086 cc,5 Seats,13
256,Honda Jazz V,695000,40000,Petrol,Automatic,1st Owner,1199 cc,5 Seats,5
257,Honda City i-VTEC,785000,96000,Petrol,Manual,1st Owner,1497 cc,5 Seats,5
258,Honda City 1.5,325000,67000,Petrol,Manual,2nd Owner,1497 cc,5 Seats,13
259,Honda City i-VTEC,790000,72000,Petrol,Manual,1st Owner,1497 cc,5 Seats,5
260,Hyundai i10 Magna,321000,89000,Petrol,Manual,1st Owner,1197 cc,5 Seats,10
261,Volkswagen Polo Diesel,330000,64000,Diesel,Manual,1st Owner,1199 cc,5 Seats,12
262,Maruti Swift Vdi,200000,120000,Diesel,Manual,3rd Owner,1248 cc,5 Seats,13
263,Honda Jazz 1.2,540000,42000,Petrol,Manual,1st Owner,1199 cc,5 Seats,6
264,Datsun RediGO T,270000,55000,Petrol,Manual,1st Owner,799 cc,5 Seats,6
265,Hyundai Santro Era,495000,30000,Petrol,Manual,1st Owner,1086 cc,5 Seats,4
266,Tata Hexa XTA,1000000,86500,Diesel,Automatic,2nd Owner,2179 cc,7 Seats,6
267,Honda CR-V 2.4L,1050000,59000,Petrol,Automatic,1st Owner,2354 cc,5 Seats,9
268,Hyundai EON Era,310000,15000,Petrol,Manual,1st Owner,814 cc,5 Seats,5
269,Mahindra Scorpio S7,1200000,70000,Diesel,Manual,1st Owner,2179 cc,7 Seats,4
270,Volkswagen Polo ALLSTAR,600000,50000,Petrol,Manual,2nd Owner,1198 cc,5 Seats,6
271,Chevrolet Cruze LT,300000,110000,Diesel,Manual,1st Owner,1991 cc,5 Seats,11
272,Tata Nexon XMA,925000,13700,Petrol,Automatic,1st Owner,1199 cc,5 Seats,2
273,Maruti Swift VXI,570000,25000,Petrol,Manual,1st Owner,1197 cc,5 Seats,4
274,Ford Ecosport Sports,1100000,20000,Diesel,Manual,1st Owner,1498 cc,5 Seats,2
275,Jaguar XF 2.2,1800000,70000,Diesel,Automatic,2nd Owner,2179 cc,5 Seats,9
276,Tata Indica TDI,100000,35000,Diesel,Manual,3rd Owner,1405 cc,5 Seats,10
277,Toyota Fortuner 4X4,4350000,26629,Diesel,Automatic,1st Owner,2755 cc,7 Seats,2
278,Mercedes-Benz C-Class Progressive,4650000,20000,Diesel,Automatic,1st Owner,1950 cc,5 Seats,4
279,Mercedes-Benz GLC Progressive,5395000,33000,Diesel,Automatic,1st Owner,2143 cc,5 Seats,4
280,BMW 3 Series,6175000,25000,Petrol,Automatic,1st Owner,1998 cc,5 Seats,2
281,Audi Q3 30,2795000,55291,Diesel,Manual,1st Owner,1968 cc,5 Seats,6
282,Mercedes-Benz C-Class C,1650000,58500,Diesel,Automatic,1st Owner,2143 cc,5 Seats,10
283,Audi Q7 45,7250000,15000,Diesel,Automatic,1st Owner,2967 cc,7 Seats,5
284,Renault Duster 85PS,650000,90000,Diesel,Manual,1st Owner,1461 cc,5 Seats,9
285,Audi Q3 35,1300000,64000,Diesel,Automatic,2nd Owner,1968 cc,5 Seats,11
